date,address,type,WAT,Confidence,risk_level,risk_description,,have?
2023-11-09,0xba509bdb71a29301860800e13867b59b461747af,General_Trending_Risky,99677,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xba509bdb71a29301860800e13867b59b461747af""}]",0xe6ce27025f13f5213bbc560dc275e292965a392f,No
2023-11-09,0xfa500178de024bf43cfa69b7e636a28ab68f2741,General_Trending_Risky,75769,70,4,"[{""name"":""revised"",""value"":""The risk score has been revised based on our threat intelligence""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfa500178de024bf43cfa69b7e636a28ab68f2741""}]",0x42981d0bfbaf196529376ee702f2a9eb9092fcb5,No
2023-11-09,0x0000000000b35ae47b12b8ccf2f8d51e208760c8,General_Trending_Risky,49371,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000b35ae47b12b8ccf2f8d51e208760c8""}]",0xa325ad6d9c92b55a3fc5ad7e412b1518f96441c0,No
2023-11-09,0xe01806f66abcd460a7eb38ec723cc644c3e5833c,General_Trending_Risky,43481,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xe01806f66abcd460a7eb38ec723cc644c3e5833c""}]",0x8a74bc8c372bc7f0e9ca3f6ac0df51be15aec47a,No
2023-11-09,0x0000000000cc1ffb95df1486af6dacb26d6d1af0,General_Trending_Risky,35589,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000cc1ffb95df1486af6dacb26d6d1af0""}]",0x8aa688ab789d1848d131c65d98ceaa8875d97ef1,No
2023-11-09,0x00000000004712b0169adce3dcf583fada3dc0e0,General_Trending_Risky,24090,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x00000000004712b0169adce3dcf583fada3dc0e0""}]",0xfe8bf5b8f5e4eb5f9bc2be16303f7dab8cf56aa8,No
2023-11-09,0xcecce97529effc360f68b3f26eef4ad74ebf5705,General_Trending_Risky,21603,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xcecce97529effc360f68b3f26eef4ad74ebf5705""}]",0x42414624c55a9cba80789f47c8f9828a7974e40f,No
2023-11-09,0x000000000003a3c2878a1df56a486c9683220456,General_Trending_Risky,21275,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x000000000003a3c2878a1df56a486c9683220456""}]",0x74926b3d118a63f6958922d3dc05eb9c6e6e00c6,No
2023-11-09,0xd3d2fb3165def479310144e37e68c1e824526e36,General_Trending_Risky,19091,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xd3d2fb3165def479310144e37e68c1e824526e36""}]",0xfc8774321ee4586af183baca95a8793530056353,No
2023-11-09,0xc20a079c7962d9fc92173cda349e80d484dfa42a,General_Trending_Risky,18250,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc20a079c7962d9fc92173cda349e80d484dfa42a""}]",0xe60eaf5a997dfae83739e035b005a33afdcc6df5,No
2023-11-09,0xc198c3b7b970cbac315614cf27a1b7eb332048d6,General_Trending_Risky,15519,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",0xcd7c5025753a49f1881b31c48caa7c517bb46308,No
