date,address,type,WAT,Confidence,risk_level,risk_description
2023-11-23,0xb9d35811424600fa9e8cd62a0471fbd025131cb8,General_Trending_Risky,89334,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0x0000000000b35ae47b12b8ccf2f8d51e208760c8,General_Trending_Risky,66653,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000b35ae47b12b8ccf2f8d51e208760c8""}]"
2023-11-23,0xba509bdb71a29301860800e13867b59b461747af,General_Trending_Risky,58665,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xba509bdb71a29301860800e13867b59b461747af""}]"
2023-11-23,0xe01806f66abcd460a7eb38ec723cc644c3e5833c,General_Trending_Risky,42486,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xe01806f66abcd460a7eb38ec723cc644c3e5833c""}]"
2023-11-23,0x0000000000cc1ffb95df1486af6dacb26d6d1af0,General_Trending_Risky,29277,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000cc1ffb95df1486af6dacb26d6d1af0""}]"
2023-11-23,0xaf656d9bac8385bd52df038b18ced9f8bcb80792,General_Trending_Risky,28860,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]"
2023-11-23,0x00000000004712b0169adce3dcf583fada3dc0e0,General_Trending_Risky,28153,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x00000000004712b0169adce3dcf583fada3dc0e0""}]"
2023-11-23,0xd3d2fb3165def479310144e37e68c1e824526e36,General_Trending_Risky,23334,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xd3d2fb3165def479310144e37e68c1e824526e36""}]"
2023-11-23,0xcecce97529effc360f68b3f26eef4ad74ebf5705,General_Trending_Risky,22959,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xcecce97529effc360f68b3f26eef4ad74ebf5705""}]"
2023-11-23,0x000000000003a3c2878a1df56a486c9683220456,General_Trending_Risky,19030,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x000000000003a3c2878a1df56a486c9683220456""}]"
