address,type,last_7days_cd_address,last_7days_cd_tx_hash
0x8af2b9aef29de240aa28998e932053d01b6a3b05,Scam,2249,2522
0xa44479f8ae66389cbae14410fd96f1742707f055,Scam,736,847
0xebd35ff8ee51aef61defaa05052c7b5117640b39,Scam,603,984
0x685b594824d71a0526f24ea2549f412c1d7f1d35,Scam,540,726
0xfbcf52615f2bbd88c66af3f37986faa3e3f7614d,Scam,79,121
0x735e0c7c415826d374da3c427c69f8d31482ce6a,Scam,68,99
0x5000a328628527a86ae249ca4f583cb5ba2638c2,Scam,57,141
0xa4fb3f21dc3c89cd3f253883bb726328ec712747,Scam,54,147
0x6dc70d4e0342da36be4d9d5061fc442d1c443ec1,Scam,47,71
0x080431f5c01a1d9c1b990fd68f3341abc4c186d0,Scam,47,49
0x5160f18eecf400adea97b991e7346e9ca3952dd5,Scam,45,59
0xb73bc1697b567a47e8532b0371a327c20bb51b59,Scam,39,47
0x61a77840fb23ce96fdc1e4eb8df87f8abe9b4676,Scam,38,39
0xdeb781b3c4377ae312339f2aa47cbb226f92157c,Scam,24,36
0x929625acce321770c747c38cc989b689ee823d90,Scam,24,93
0xa60f086dcbb8a9b8c87fecf0e981337590e919d7,Scam,15,65
0xc572fb7e614c681613ba0dfab41bc37f987daf6b,Scam,14,24
