title,description,ref_link,priority,item,item_type,chain_id,addresses,timestamp
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x9407a4ca280a92f090d59d05c2f1c7f1b0d9259434e5ec43fda4b6c9de56b4e7 ,2,0x9407a4ca280a92f090d59d05c2f1c7f1b0d9259434e5ec43fda4b6c9de56b4e7,tx_hash,56,0xa854dc80a4b82ba13f9d190885c20ff668c3f8be;0x10ed43c718714eb63d5aa57b78b54704e256024e;0x7441120eedfeeb8c999b7b97810686dca51b2bce,1708231123
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x53fd6a2913cac3e8199299373068b0721b4b521a229297006967a2cd82e1481e ,2,0x53fd6a2913cac3e8199299373068b0721b4b521a229297006967a2cd82e1481e,tx_hash,56,0x60615c69cc60d204ac197f80f24efc02de8ea7f9;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xc28718a0de5a558e79d1b00b6090687487dcd38e,1708230799
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://explorer.phalcon.xyz/tx/bsc/0x58c39ccfb9730a2c00280440cb1cdd199e87f806c9b62aca39a01569347c651a,1,0x58c39ccfb9730a2c00280440cb1cdd199e87f806c9b62aca39a01569347c651a,tx_hash,56,0x818835503f55283cd51a4399f595e295a9338753;0x0d0707963952f2fba59dd06f2b425ace40b492fe;0xc882b111a75c0c657fc507c04fbfcd2cc984f071,1708230681
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0xfa58f208a3a4f91625d7216af4ba7416acbf0f09 ,2,0xfa58f208a3a4f91625d7216af4ba7416acbf0f09,address,56,0xfa58f208a3a4f91625d7216af4ba7416acbf0f09;0x51c599186ebc5b69e2f2a3e63aecdaac279a1ea7;0x55d398326f99059ff775485246999027b3197955,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0xf266b1177ee0b8d145ab145a93f8719e9f4a7b4d ,2,0xf266b1177ee0b8d145ab145a93f8719e9f4a7b4d,address,56,0xf266b1177ee0b8d145ab145a93f8719e9f4a7b4d;0x1d242cb047033a36037c777e7e8967c26b743f25;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0xf0ba0ce0ef058f716cfaaf48d5fd2781e78eedfe ,2,0xf0ba0ce0ef058f716cfaaf48d5fd2781e78eedfe,address,56,0xf0ba0ce0ef058f716cfaaf48d5fd2781e78eedfe;0x51f0926caf52b68d0736fe7d8abc4afa2ef8e711;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0xe63680e21d2d65f86fe7249c6f475942afc4dac1 ,2,0xe63680e21d2d65f86fe7249c6f475942afc4dac1,address,56,0xe63680e21d2d65f86fe7249c6f475942afc4dac1;0xbf6b8e0084320ed012b56f89301032fcc2888888;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0xd60733b8ad7e6b4b232dab777e8eac655ed1c4e2 ,2,0xd60733b8ad7e6b4b232dab777e8eac655ed1c4e2,address,56,0xd60733b8ad7e6b4b232dab777e8eac655ed1c4e2;0x096985703f584b9444ce9730b600fc39de29ccc8;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0x8d5c6a86c6a11a59024c254f254d320e94b19a64 ,2,0x8d5c6a86c6a11a59024c254f254d320e94b19a64,address,56,0x8d5c6a86c6a11a59024c254f254d320e94b19a64;0xbf854433f7fbac22e4f8c4e9298f68469bec9846;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0x4c8f6c3382b253de507cbe185bb511f7b5131c09 ,2,0x4c8f6c3382b253de507cbe185bb511f7b5131c09,address,56,0x4c8f6c3382b253de507cbe185bb511f7b5131c09;0x939c23fa71368235deeb61873210b4e9e15167f0;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0x3d35cff2fa479382d045f41ec02863b814aa0d2d ,2,0x3d35cff2fa479382d045f41ec02863b814aa0d2d,address,56,0x3d35cff2fa479382d045f41ec02863b814aa0d2d;0x0d5da2e19b4ccf0ac2cff6bf82cc8a9d5ac199a8;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0x37ffb7f846dcd5a16c708d3b8a79d05bdbb6cabc ,2,0x37ffb7f846dcd5a16c708d3b8a79d05bdbb6cabc,address,56,0x37ffb7f846dcd5a16c708d3b8a79d05bdbb6cabc;0xce1b3e5087e8215876af976032382dd338cf8401;0x8c907e0a72c3d55627e853f4ec6a96b0c8771145,1708230574
Scam Warning,Detected a new liquidity pool (LP) with a high risk token,https://www.dextools.io/app/en/bnb/pair-explorer/0x0ccc5527b4b6213954dd2a5294546903a28b09f1 ,2,0x0ccc5527b4b6213954dd2a5294546903a28b09f1,address,56,0x0ccc5527b4b6213954dd2a5294546903a28b09f1;0x22e75bb30ac7979ff5a44e6046c6d54f8fa55678;0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1708230574
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x1a62f6d98b812c1b8b53aa9a3a4ed5025dab3c82dc2d2e9d03dbbab284085b5d ,2,0x1a62f6d98b812c1b8b53aa9a3a4ed5025dab3c82dc2d2e9d03dbbab284085b5d,tx_hash,56,0x6f4055a078bb39f33224d9add0575645971adb9b;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xcc8b98d5b2b03e2733963e300cefdd8ac8863611,1708229826
Risky Warning,Detected a potential security alert from a Top Project:axieinfinity on Twitter,https://twitter.com/axieinfinity/status/1759068993002909828 ,2,1759068993002909828_1708229714,metadata,,,1708229714
Risky Warning,Detected a rugpull on a token (from DEX),https://explorer.phalcon.xyz/tx/bsc/0x8c94130afed11cb2f2eaca87ecdfeba817a1d31e86d39232e547482aea99ee63 ,2,0x8c94130afed11cb2f2eaca87ecdfeba817a1d31e86d39232e547482aea99ee63,tx_hash,56,0xc65a04de63f6afc0b520523ed03462b5ee262a37;0x10ed43c718714eb63d5aa57b78b54704e256024e;0xec31808048b2cf37f1d74dcb88cbe5c9b02fd4a4,1708229202
Risky Warning,"Detected a substantial value transfer, suggesting potential risks",https://explorer.phalcon.xyz/tx/bsc/0x300c8225ad6bd1d1409be3735b0a3b683a595d4ef509cac7859ad70fff26b00c,1,0x300c8225ad6bd1d1409be3735b0a3b683a595d4ef509cac7859ad70fff26b00c,tx_hash,56,0x43b35e89d15b91162dea1c51133c4c93bdd1c4af;0x2e8f79ad740de90dc5f5a9f0d8d9661a60725e64;0x4982085c9e2f89f2ecb8131eca71afad896e89cb,1708228992
