date,address,type,WAT,risk_level,risk_description
2023-08-21,0xc198c3b7b970cbac315614cf27a1b7eb332048d6,General_Trending_Risky,171536,3,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x2eeff21c71ae38f9c34496cd9250c0d186dcd988,General_Trending_Risky,101382,3,"the address is blacklisted based on threat intelligence or manual analysis.;the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk.;the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0xffe811714ab35360b67ee195ace7c10d93f89d8c,General_Trending_Risky,109463,5,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x98f39d0f8c67885071cc99c5af1d4cacbcc89b0c,General_Trending_Risky,70393,4,"the contract is ununverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-08-21,0xec1f55b5be7ee8c24ee26b6cc931ce4d7fd5955c,General_Trending_Risky,370529,3,"the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0x04f46cdfe8dd348e41902eef1aff19ace1661f4c,General_Trending_Risky,77382,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x4238e5ccc619dcc8c00ade4cfc5d3d9020b24898,General_Trending_Risky,38712,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x4cb680a2589d742c30556e359a352f9c511eef54,General_Trending_Risky,42552,4,"the contract is ununverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-08-21,0xcfa40a7ae369ba43b71348a66712f44e37a5b0a1,General_Trending_Risky,25923,5,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x4d1e90ab966ae26c778b2f9f365aa40abb13f53c,General_Trending_Risky,51476,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0xfdc9018af0e37abf89233554c937eb5068127080,General_Trending_Risky,25730,4,"the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk."
2023-08-21,0x75ca521892de7f2ecfb070cab545c250d0ceb7e3,General_Trending_Risky,16026,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0xef2b07b1fec00caccdd8dadeaa25900c808ca3dd,General_Trending_Risky,19716,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x685bfdd3c2937744c13d7de0821c83191e3027ff,General_Trending_Risky,17227,5,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x76d9a7c6164de3bc4d95ef0c011d3d22eb8b4d60,General_Trending_Risky,14191,3,"the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk.;the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0x4fe59adcf621489ced2d674978132a54d432653a,General_Trending_Risky,14318,5,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x13fd16538ff8b3aea324bc4d2863eb9ea78e1691,General_Trending_Risky,22022,3,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0xba509bdb71a29301860800e13867b59b461747af,General_Trending_Risky,50967,5,"the address is blacklisted based on threat intelligence or manual analysis.;the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk.;the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk."
2023-08-21,0xac90d1742bc55f896b6fd1f2e1a1381d0c1c3adc,General_Trending_Risky,10318,4,"the contract is ununverified which always indicates some potential risks, please be careful of scam or hack risk."
